Nick,League Points,Total Games,Daily League Points,Daily Games,lolchess
FOUR koke,41,163,41,1,https://lolchess.gg/profile/KR/FOUR koke
GuiKrsh,136,67,28,1,https://lolchess.gg/profile/KR/GuiKrsh
FOUR PGarras,181,220,27,1,https://lolchess.gg/profile/KR/FOUR PGarras
vakio,383,134,23,1,https://lolchess.gg/profile/KR/vakio
TFx Cleiton,943,176,10,1,https://lolchess.gg/profile/KR/TFx Cleiton
Gabymar10,81,172,10,1,https://lolchess.gg/profile/KR/Gabymar10
BES ego illusion,1054,144,0,0,https://lolchess.gg/profile/KR/BES ego illusion
BEE itachi,970,196,0,0,https://lolchess.gg/profile/KR/BEE itachi
22komentality,809,115,0,0,https://lolchess.gg/profile/KR/22komentality
MAQUINADOKING,664,254,0,0,https://lolchess.gg/profile/KR/MAQUINADOKING
Slooper,628,105,0,0,https://lolchess.gg/profile/KR/Slooper
BES Toddy,619,167,0,0,https://lolchess.gg/profile/KR/BES Toddy
FOUR Sukesvs,607,159,0,0,https://lolchess.gg/profile/KR/FOUR Sukesvs
KDA Constantine ,547,215,0,0,https://lolchess.gg/profile/KR/KDA Constantine 
BES DobZ,537,122,0,0,https://lolchess.gg/profile/KR/BES DobZ
JosneyQT,529,131,0,0,https://lolchess.gg/profile/KR/JosneyQT
CPV Shinrii,529,198,0,0,https://lolchess.gg/profile/KR/CPV Shinrii
KDA Math108,471,139,0,0,https://lolchess.gg/profile/KR/KDA Math108
MJN Fobia,454,160,0,0,https://lolchess.gg/profile/KR/MJN Fobia
vsf eunuco,433,177,0,0,https://lolchess.gg/profile/KR/vsf eunuco
udison rodrigues,431,82,0,0,https://lolchess.gg/profile/KR/udison rodrigues
PedroBanana,424,156,0,0,https://lolchess.gg/profile/KR/PedroBanana
Hazte,376,95,0,0,https://lolchess.gg/profile/KR/Hazte
FOUR Dianbizir,352,148,0,0,https://lolchess.gg/profile/KR/FOUR Dianbizir
20facesLGL,338,106,0,0,https://lolchess.gg/profile/KR/20facesLGL
brüninho,334,273,0,0,https://lolchess.gg/profile/KR/brüninho
RetiredCardGamer,334,132,0,0,https://lolchess.gg/profile/KR/RetiredCardGamer
LeS Neuro,331,145,0,0,https://lolchess.gg/profile/KR/LeS Neuro
quavolino,307,169,0,0,https://lolchess.gg/profile/KR/quavolino
LeS Zeppelinhu2,285,68,0,0,https://lolchess.gg/profile/KR/LeS Zeppelinhu2
Dairon,270,134,0,0,https://lolchess.gg/profile/KR/Dairon
Tanju,266,180,0,0,https://lolchess.gg/profile/KR/Tanju
BES Midor1ya,264,160,0,0,https://lolchess.gg/profile/KR/BES Midor1ya
verme tft,258,307,0,0,https://lolchess.gg/profile/KR/verme tft
GVidigal,257,54,0,0,https://lolchess.gg/profile/KR/GVidigal
FOUR BieuL,253,143,0,0,https://lolchess.gg/profile/KR/FOUR BieuL
KDA Pikáchú,249,100,0,0,https://lolchess.gg/profile/KR/KDA Pikáchú
Miguel Arkjow,245,97,0,0,https://lolchess.gg/profile/KR/Miguel Arkjow
CPV Tjjuninho,241,112,0,0,https://lolchess.gg/profile/KR/CPV Tjjuninho
BEE Soft,238,144,0,0,https://lolchess.gg/profile/KR/BEE Soft
FW zns ,232,152,0,0,https://lolchess.gg/profile/KR/FW zns 
miTonin,231,137,0,0,https://lolchess.gg/profile/KR/miTonin
DragonzKilla,224,144,0,0,https://lolchess.gg/profile/KR/DragonzKilla
BEE MédicoDoSUS,217,195,0,0,https://lolchess.gg/profile/KR/BEE MédicoDoSUS
KDA wenked,214,122,0,0,https://lolchess.gg/profile/KR/KDA wenked
Rafael Araújo,209,182,0,0,https://lolchess.gg/profile/KR/Rafael Araújo
RV Thrash,208,121,0,0,https://lolchess.gg/profile/KR/RV Thrash
AI CE TOMA,207,115,0,0,https://lolchess.gg/profile/KR/AI CE TOMA
Mortdogged,206,100,0,0,https://lolchess.gg/profile/KR/Mortdogged
TFTryndaMertens,206,186,0,0,https://lolchess.gg/profile/KR/TFTryndaMertens
FOUR ggab,206,113,0,0,https://lolchess.gg/profile/KR/FOUR ggab
Koala Esbelto,203,115,0,0,https://lolchess.gg/profile/KR/Koala Esbelto
KDA Guiczar,201,126,0,0,https://lolchess.gg/profile/KR/KDA Guiczar
Viic,200,190,0,0,https://lolchess.gg/profile/KR/Viic
SrCrynox,196,116,0,0,https://lolchess.gg/profile/KR/SrCrynox
TFx D klein,193,193,0,0,https://lolchess.gg/profile/KR/TFx D klein
zzhcet,190,106,0,0,https://lolchess.gg/profile/KR/zzhcet
Mecmeno,173,195,0,0,https://lolchess.gg/profile/KR/Mecmeno
Alemaxt,168,174,0,0,https://lolchess.gg/profile/KR/Alemaxt
Mallenda,154,150,0,0,https://lolchess.gg/profile/KR/Mallenda
gxzera,152,246,0,0,https://lolchess.gg/profile/KR/gxzera
FORA Shuji Hanma,151,133,0,0,https://lolchess.gg/profile/KR/FORA Shuji Hanma
BEE Phelpz,150,126,0,0,https://lolchess.gg/profile/KR/BEE Phelpz
TFx Allancar,141,100,0,0,https://lolchess.gg/profile/KR/TFx Allancar
FOUR Balandok,141,117,0,0,https://lolchess.gg/profile/KR/FOUR Balandok
fullg,139,90,0,0,https://lolchess.gg/profile/KR/fullg
Dinim,136,115,0,0,https://lolchess.gg/profile/KR/Dinim
BES Patr0ci,135,155,0,0,https://lolchess.gg/profile/KR/BES Patr0ci
DonCrazy,133,183,0,0,https://lolchess.gg/profile/KR/DonCrazy
FOUR Levi,119,68,0,0,https://lolchess.gg/profile/KR/FOUR Levi
O Rickas,114,173,0,0,https://lolchess.gg/profile/KR/O Rickas
DarkMagician,114,113,0,0,https://lolchess.gg/profile/KR/DarkMagician
LeS kkamikz,114,133,0,0,https://lolchess.gg/profile/KR/LeS kkamikz
KDA Xaue,107,116,0,0,https://lolchess.gg/profile/KR/KDA Xaue
eusouolucas,105,129,0,0,https://lolchess.gg/profile/KR/eusouolucas
FOUR Breslley,103,76,0,0,https://lolchess.gg/profile/KR/FOUR Breslley
